COD_NUTS;Designacao;Preco_m2_4T2024;Salario_Minimo_2024;Salario_Medio_Nacional_2024;Racio_Salario_Minimo_por_m2;Racio_Salario_Medio_por_m2
1D11005;Bombarral;908.0;820.0;1600.0;1.11;0.57
11A0109;Santa Maria da Feira;905.0;820.0;1600.0;1.1;0.57
3003105;Ponta do Sol;896.0;820.0;1600.0;1.09;0.56
11A1310;Paredes;892.0;820.0;1600.0;1.09;0.56
1931010;Marinha Grande;890.0;820.0;1600.0;1.09;0.56
1D11101;Alenquer;868.0;820.0;1600.0;1.06;0.54
1910118;Vagos;864.0;820.0;1600.0;1.05;0.54
191;Região de Aveiro;846.0;820.0;1600.0;1.03;0.53
11D1714;Vila Real;844.0;820.0;1600.0;1.03;0.53
119;Ave;837.0;820.0;1600.0;1.02;0.52
1C11501;Alcácer do Sal;839.0;820.0;1600.0;1.02;0.52
2004101;Vila do Porto;829.0;820.0;1600.0;1.01;0.52
11C1305;Lousada;811.0;820.0;1600.0;0.99;0.51
11C1309;Paços de Ferreira;810.0;820.0;1600.0;0.99;0.51
2004603;São Roque do Pico;811.0;820.0;1600.0;0.99;0.51
1D11001;Alcobaça;813.0;820.0;1600.0;0.99;0.51
1D31103;Azambuja;806.0;820.0;1600.0;0.98;0.5
1910114;Oliveira do Bairro;787.0;820.0;1600.0;0.96;0.49
1D31403;Almeirim;787.0;820.0;1600.0;0.96;0.49
3003107;Ribeira Brava;773.0;820.0;1600.0;0.94;0.48
1190314;Vizela;757.0;820.0;1600.0;0.92;0.47
1D31406;Cartaxo;751.0;820.0;1600.0;0.92;0.47
1910112;Murtosa;753.0;820.0;1600.0;0.92;0.47
1120301;Amares;750.0;820.0;1600.0;0.91;0.47
1D;Oeste e Vale do Tejo;746.0;820.0;1600.0;0.91;0.47
11A1314;Santo Tirso;735.0;820.0;1600.0;0.9;0.46
1910102;Albergaria-a-Velha;731.0;820.0;1600.0;0.89;0.46
1D3;Lezíria do Tejo;720.0;820.0;1600.0;0.88;0.45
3003101;Calheta;718.0;820.0;1600.0;0.88;0.45
3003109;Santana;718.0;820.0;1600.0;0.88;0.45
1120313;Vila Verde;704.0;820.0;1600.0;0.86;0.44
1190307;Fafe;693.0;820.0;1600.0;0.85;0.43
11A0113;Oliveira de Azeméis;698.0;820.0;1600.0;0.85;0.44
111;Alto Minho;698.0;820.0;1600.0;0.85;0.44
1500809;Monchique;696.0;820.0;1600.0;0.85;0.44
1C40706;Montemor-o-Novo;692.0;820.0;1600.0;0.84;0.43
1D11112;Sobral de Monte Agraço;691.0;820.0;1600.0;0.84;0.43
1941823;Viseu;685.0;820.0;1600.0;0.84;0.43
2004301;Angra do Heroísmo;682.0;820.0;1600.0;0.83;0.43
1C10211;Odemira;681.0;820.0;1600.0;0.83;0.43
193;Região de Leiria;672.0;820.0;1600.0;0.82;0.42
2004602;Madalena;669.0;820.0;1600.0;0.82;0.42
2;Região Autónoma dos Açores;673.0;820.0;1600.0;0.82;0.42
20;Região Autónoma dos Açores;673.0;820.0;1600.0;0.82;0.42
200;Região Autónoma dos Açores;673.0;820.0;1600.0;0.82;0.42
2004204;Povoação;663.0;820.0;1600.0;0.81;0.41
1111607;Ponte de Lima;652.0;820.0;1600.0;0.8;0.41
2004206;Vila Franca do Campo;660.0;820.0;1600.0;0.8;0.41
1111604;Monção;655.0;820.0;1600.0;0.8;0.41
1D31409;Coruche;653.0;820.0;1600.0;0.8;0.41
2004302;Vila da Praia da Vitória;656.0;820.0;1600.0;0.8;0.41
11B1703;Chaves;658.0;820.0;1600.0;0.8;0.41
2004701;Horta;650.0;820.0;1600.0;0.79;0.41
11C1311;Penafiel;638.0;820.0;1600.0;0.78;0.4
1910108;Estarreja;635.0;820.0;1600.0;0.77;0.4
11E0402;Bragança;631.0;820.0;1600.0;0.77;0.39
2004601;Lajes do Pico;618.0;820.0;1600.0;0.75;0.39
3003110;São Vicente;615.0;820.0;1600.0;0.75;0.38
1920602;Cantanhede;616.0;820.0;1600.0;0.75;0.38
192;Região de Coimbra;616.0;820.0;1600.0;0.75;0.38
3003106;Porto Moniz;607.0;820.0;1600.0;0.74;0.38
1D21421;Ourém;608.0;820.0;1600.0;0.74;0.38
1190309;Póvoa de Lanhoso;597.0;820.0;1600.0;0.73;0.37
11A0119;Vale de Cambra;598.0;820.0;1600.0;0.73;0.37
1C20205;Beja;583.0;820.0;1600.0;0.71;0.36
11C1307;Marco de Canaveses;580.0;820.0;1600.0;0.71;0.36
1D31412;Golegã;585.0;820.0;1600.0;0.71;0.37
11C1303;Felgueiras;579.0;820.0;1600.0;0.71;0.36
1D31416;Santarém;577.0;820.0;1600.0;0.7;0.36
1D31404;Alpiarça;571.0;820.0;1600.0;0.7;0.36
